MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
15.5,22.4,NW,28,68,1015.4,21.1,Yes
13.1,17.4,NNW,43,93,1006.5,16.6,Yes
12.6,20.2,W,46,50,1008.4,17.4,No
4.4,18.3,N,33,36,1012.6,17.4,No
4.4,18.2,W,31,35,1015,17.2,No
7.1,18.5,NW,57,30,1011.3,18.2,No
4.2,18.9,WNW,50,34,1009.3,18.1,No
9.6,18.8,WNW,57,42,1013,16.5,No
3.5,21.8,NNW,22,34,1021.2,21.2,No
5.3,23.3,NNW,83,26,1010.5,22.5,Yes
7,14.3,WNW,63,40,1012.7,13.7,No
0.4,18.9,N,22,33,1019.1,17.6,No
3.2,21.4,E,26,27,1022.3,20.5,No
5.9,21.8,E,35,35,1024.1,20.8,No
8.1,20.5,ENE,31,48,1024,19.5,No
6.9,18.9,ESE,39,45,1025.4,17.8,No
5.6,19.5,SW,17,49,1021.8,18.6,No
7.2,22.9,E,26,28,1019.2,22.2,No
7.1,23.4,ESE,39,29,1016.9,22.4,No
6.1,24.1,WNW,35,32,1015.8,23.7,Yes
7.1,19.8,W,39,56,1013.8,19.1,Yes
5.6,18,S,31,40,1019.6,17.9,No
5.4,20.7,SSE,28,36,1023.9,20.4,No
6.3,19.3,S,31,39,1024.4,18.8,No
5.3,21,WNW,26,44,1023.3,20.4,No
7.9,19.7,ESE,48,43,1024.1,19.1,No
8.4,16.1,SE,35,51,1027.4,15.2,No
8.1,18.7,ESE,33,65,1024.2,15.6,No
2.4,20.6,E,30,34,1021,19.8,No
5.6,18.9,SE,33,49,1023.5,17.7,No
7.5,19,ENE,26,43,1022.2,18.1,No
2.5,21.2,NE,28,55,1019.8,17.6,No
5,20.9,WNW,22,42,1014.3,20.6,No
3.8,21.7,NW,44,34,1006.7,20.2,No
7.9,18.7,NW,59,51,997.7,16.6,Yes
4.3,11.3,W,57,60,1008.1,8.8,No
-2.1,13.8,NNW,22,40,1019.6,13.2,No
-1.8,14.8,N,28,40,1020.5,13.9,No
3.8,13.8,WNW,31,54,1018.5,12.4,No
2.1,17.3,W,43,38,1017.3,15.9,No
0.5,17.1,NW,31,42,1017.4,16.2,No
-0.9,16.7,NNW,30,42,1018.5,15.4,No
0.4,19,NW,39,41,1015.8,18.5,No
7.5,16.8,NW,41,53,1013.8,15.4,No
8.3,17.6,WNW,43,43,1013.5,16.5,No
-0.2,18.1,NW,24,44,1018.9,16.9,No
0.1,21,NNW,17,36,1020.3,20.7,No
1.5,20.9,NW,20,41,1020,20.9,No
8.3,17.4,E,20,52,1021.5,17.2,No
9.4,19.2,NA,24,47,1020.3,18.8,No
1.3,19,NNW,30,34,1021.4,18.6,No
2.2,18.6,NNW,31,44,1021,17.8,No
-0.4,17.9,NW,33,40,1018.7,17.7,Yes
4.5,16,NW,35,69,1013.7,15.2,No
7.9,12.3,NW,52,78,1005.9,7.3,No
4.3,14.1,NW,41,53,1008.3,13.3,No
-2.7,18.1,W,52,36,1014.3,16.7,No
0.3,17,WNW,31,52,1018.6,16.2,No
3.8,17.4,E,24,47,1022.9,16.6,No
2.4,14.7,ESE,20,43,1026,13.8,No
1.2,14.8,SE,17,49,1024.8,14.5,No
1.2,14.5,SE,17,43,1023.5,13.9,No
-0.3,17.5,W,39,48,1021.8,17.2,Yes
4.7,18.5,ESE,22,50,1023.1,17.9,Yes
4.9,18.1,NNW,22,55,1022.3,17.7,No
1.4,16.8,NW,20,50,1024.7,16.3,No
2.2,17.5,NW,20,45,1029.6,17.3,No
-0.1,18,NA,NA,46,1028.7,17.4,No
-0.9,18.5,E,22,38,1027.4,18.2,No
0.6,14,NE,17,67,1028.9,13.9,No
4.6,15.7,NNE,15,67,1027.1,15.5,No
9.8,14.4,ESE,20,86,1027.2,13.6,Yes
10.6,15.1,SSE,41,65,1025.7,13.3,No
7.8,15.1,S,31,65,1023.4,14.8,No
4.4,16.7,S,22,42,1022.1,16.2,No
-0.2,15.5,NE,28,42,1027,14.5,No
4.3,14.5,E,30,70,1031.7,13,No
7.4,16.3,NNE,30,65,1027.9,14.5,Yes
8.6,13.7,NW,31,94,1024.3,11.6,Yes
10.2,15,NW,46,65,1022.1,13.7,No
7.3,16.4,NW,43,48,1019.7,14.7,No
8.7,13,WNW,54,58,1014.1,11.1,No
1,11.8,S,48,49,1025.6,11,No
2.1,14.7,S,43,57,1026.3,13.8,No
6.4,16.9,SSW,26,51,1024.8,16,No
5.4,15.5,NNE,20,58,1025.5,14.9,No
0.4,15.5,N,13,70,1023.5,15,No
4,15.9,NNW,17,63,1019.7,14.8,Yes
8.4,11.7,W,26,86,1019.2,11.3,No
0.4,13.9,WNW,41,59,1021,12.1,No
4.2,14,NW,33,44,1025.7,12.5,No
0.9,12.9,NW,24,53,1022.1,12.3,No
0.8,13,WNW,41,69,1024.2,11.7,No
4.3,12.6,NW,46,54,1021.9,11.3,No
6.3,11.8,WNW,63,48,1020.4,11.5,No
3.5,14.3,NNW,35,51,1025,12.7,No
-1.5,14.8,NW,15,41,1026,14.5,No
1.2,16,NNW,31,38,1020.9,14.6,No
0.5,15.4,W,70,68,1010.2,12.9,Yes
5.3,11.7,NW,78,56,1012.3,11.1,No
6.6,13.1,WNW,61,53,1014,12.3,No
-1.6,11.5,N,31,53,1021.9,11.1,No
-3.1,12,ESE,35,52,1030,10.2,No
-0.1,14.2,W,13,55,1028.9,12.6,No
-0.6,14,NW,41,59,1026.3,13.6,No
3,11.1,W,35,96,1021.1,8.6,Yes
2.9,9.5,NW,35,72,1019.6,7.4,No
-1.3,8.8,WNW,39,68,1016.8,8,No
1.8,8.7,NW,65,85,1010.5,6.9,Yes
2.9,8.4,NW,59,66,1018.2,7.1,No
-2.6,11.1,N,20,54,1022.7,9.9,No
0.5,11,NNW,31,69,1021.9,10.7,No
2.7,16.5,NNW,41,51,1019,15.9,No
-1.7,13.6,NNW,28,46,1020.1,13.3,No
-0.9,12.8,N,17,62,1020.8,12.1,No
-1.8,11.5,NNW,41,55,1013.9,11,No
1.3,10.6,NW,46,73,1009.4,8.2,Yes
2.4,11.6,NW,35,48,1014.9,10.7,No
-1.1,11,WNW,41,87,1009,8.7,Yes
2.3,11.6,WNW,54,56,1010.3,11.2,No
-2.2,11.6,S,39,33,1025.8,11,No
-3.5,11.2,ESE,26,48,1031.1,10.1,No
-1,12.2,ESE,30,51,1027.4,10.8,No
-2.1,12.9,S,31,25,1020.9,12.3,No
-2,11.3,WNW,33,50,1015.3,10.9,No
-2.3,9.7,SSE,28,66,1010,7.8,Yes
-1.6,10.7,S,59,56,1014.9,9.6,No
0.8,12.2,NA,NA,49,1016.8,11.2,No
-2.8,12.2,NNW,31,48,1014.6,11.5,No
-2.8,14.1,WNW,48,38,1012.9,12.8,No
3,9.7,W,65,82,1001.3,8.6,Yes
4.4,11.5,WNW,57,56,1014.9,10.5,No
2.3,12.8,WNW,35,48,1018.1,11.6,No
-2,12.3,W,31,60,1018.3,9.1,No
-1.9,10.9,S,50,72,1019.2,7.2,Yes
4.8,14.1,S,48,48,1017.6,13.6,No
-0.6,11.1,NNW,41,78,1015.9,5.7,Yes
3.1,12.5,N,43,62,1019.1,11.3,No
-2.9,9.6,NW,43,70,1019,8.1,No
-3.5,7.6,NW,50,68,1012.6,5.1,No
-0.3,9.3,N,39,60,1016.6,8.3,No
0.1,10.4,WNW,59,63,1020.1,8.6,No
2.3,12.2,WNW,44,41,1022.4,10.4,No
2.1,10.7,NW,59,45,1018.2,9.5,No
4.6,14.7,WNW,52,51,1012.4,12,No
3.7,14.2,NNW,46,27,1011.8,13.5,No
-1.3,11.6,N,30,35,1022,10.8,No
-3.4,12.5,SSE,48,30,1021.8,11.2,No
-5.3,13.1,NW,33,47,1025.6,12.2,No
0,14,WNW,39,36,1024.4,12.4,No
2.4,14.1,NW,46,27,1017.8,13.2,No
-0.6,12.2,S,59,44,1016.8,10.7,No
2.3,11.6,S,54,38,1025.5,11.1,No
-3.7,14.4,NNW,22,28,1028,14,No
-0.9,14.2,WNW,31,34,1024.4,12.8,No
-1.5,17.3,NW,48,23,1020.3,15.8,No
-3.3,15.1,SSW,30,23,1025.5,14.4,No
-0.1,14.7,ENE,30,43,1025.9,12.3,No
-0.2,16.2,E,28,45,1022.9,14.6,No
0.5,16.3,NNW,39,45,1017.5,15.4,Yes
6.1,17.2,NW,59,85,1010.4,12.6,Yes
4.1,14.8,NW,46,34,1021.7,14.3,No
0.1,16.7,WNW,28,44,1024.8,14.9,No
3.2,12.1,ESE,41,51,1033.2,11.1,No
5.4,11.3,ENE,35,61,1031.9,10.2,No
5.8,12.4,SE,26,73,1023.5,10.8,No
6.3,16.1,S,35,33,1016.2,15.7,No
-0.9,16.7,NW,35,33,1013.9,15.5,No
0.2,15.5,SE,31,37,1018.2,15.3,No
-3.7,14.7,SSE,43,25,1020.9,13.4,No
-2.7,15.2,N,30,35,1017.9,14.9,No
-2.5,16.6,NW,31,20,1013.9,16.3,No
-0.5,21.6,NW,48,27,1010.9,21.5,No
9,25.5,NW,50,31,1011.4,25.1,Yes
13.1,19.4,NNW,67,43,1006,18.2,Yes
8.7,19.7,NW,98,33,1001.5,18.5,Yes
3.9,13.2,WNW,65,33,1017.6,12.2,No
0.7,14.1,ENE,20,43,1022.1,13.7,No
1.1,18,NNW,39,36,1015.6,17.8,No
5.1,23.3,NW,44,30,1011.7,22.4,No
7.5,23.3,WNW,65,15,1010.9,21.3,No
4.7,19.5,NNW,46,25,1015.1,18.3,No
3.2,21.9,NW,80,50,1006.5,21,Yes
7.8,16.2,NW,50,44,1017.8,14.3,No
2.4,17.3,E,31,33,1027.7,16.5,No
3.2,18.7,N,31,32,1026.9,18.1,No
2.5,20.9,NNW,44,35,1020.6,20,No
6.5,25.7,NNW,50,25,1016.4,24.7,No
14.4,24.3,WNW,52,25,1009.9,23,No
4.9,18.9,NW,44,32,1013.9,16,No
2.3,16.8,N,41,34,1017,16.3,No
1.4,20.6,N,46,16,1015.4,19.5,No
5.6,27.6,NW,46,21,1014.1,26.7,No
16.8,28.9,NNW,70,22,1011.8,28.4,Yes
14.4,20.7,NNW,33,65,1013.2,19.3,Yes
10.3,21.3,NNW,43,46,1013.6,19.8,No
11.2,18,W,65,40,1005.3,16.2,Yes
0.3,16,NW,57,45,1013.3,14.6,No
0.5,17.9,N,44,33,1017.5,16.6,No
0.5,20,NNW,31,22,1024.2,18.8,No
4.6,22,N,41,25,1024.9,21.4,No
8.2,22.4,NW,31,30,1023.8,20.6,No
4.5,23.9,NW,30,27,1021.5,22.3,No
6.7,26.1,SSW,70,47,1016,23.2,Yes
11.9,21.1,NW,41,61,1016.7,19.4,No
9.2,19.6,ENE,31,42,1019.7,18.4,No
4.4,21,NW,28,30,1022.3,19.2,No
5,24.1,NNW,52,34,1020.7,21.9,No
6.7,24.7,NW,43,31,1022.2,23.7,No
8.3,28.5,NW,46,30,1019.8,27.4,No
11.3,27.4,NW,52,20,1017.5,26.3,No
9,20.6,ENE,39,28,1018.6,18.5,No
3.4,15,S,70,24,1023.1,14.3,No
3.2,18,SSE,48,25,1022.8,16.3,No
0.9,20.7,NNW,39,29,1018.4,19.1,No
3.3,25.5,N,43,16,1014.6,24.8,No
7.9,26.1,NNW,43,20,1014.2,25.9,No
9,30.7,NNW,76,15,1010.8,30,No
7.1,28.4,N,48,22,1016.9,28.2,No
12.5,19.9,ESE,43,47,1022.8,18.3,No
12.5,26.9,NW,46,39,1016.2,25.9,No
12.3,30.2,NW,78,13,1009.2,28.6,No
